,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
73,1.0,1.0,44.82000000000094,0.0010503505949661651,1.25,-0.049999999999998934,0.5255481027996747,1.3177116461071336,1759200124,,False,1,f9692_00073,2025-09-30_03-42-04,11.928260087966919,11.928260087966919,3988927,cnl-brain9,155.198.99.250,11.928260087966919,1,0.2375,f9692_00073
74,1.0,1.0,37.68000000000067,-0.006637618038748627,1.25,-0.049999999999998934,0.44322248022706434,1.2837139286786448,1759200125,,False,1,f9692_00074,2025-09-30_03-42-05,12.461322546005249,12.461322546005249,3988912,cnl-brain9,155.198.99.250,12.461322546005249,1,0.25,f9692_00074
75,1.0,1.0,37.44000000000066,-0.0026214358021854345,1.25,-0.049999999999998934,0.4718168321576415,1.3288151186021662,1759200125,,False,1,f9692_00075,2025-09-30_03-42-05,11.855137586593628,11.855137586593628,3988897,cnl-brain9,155.198.99.250,11.855137586593628,1,0.2625,f9692_00075
76,1.0,1.0,35.16000000000057,0.012919566828476725,1.0,-0.049999999999998934,0.5957006430675187,1.125276286987254,1759200125,,False,1,f9692_00076,2025-09-30_03-42-05,12.11753225326538,12.11753225326538,3988929,cnl-brain9,155.198.99.250,12.11753225326538,1,0.275,f9692_00076
77,1.0,1.0,33.96000000000053,0.014448122504429506,1.25,-0.049999999999998934,0.6635155007962026,1.113703445948572,1759200125,,False,1,f9692_00077,2025-09-30_03-42-05,11.786593198776245,11.786593198776245,3988911,cnl-brain9,155.198.99.250,11.786593198776245,1,0.28750000000000003,f9692_00077
78,1.0,1.0,34.980000000000565,0.00722410560464537,1.25,-0.049999999999998934,0.6045272413717151,1.1109962992958788,1759200115,,False,1,f9692_00078,2025-09-30_03-41-55,10.369915008544922,10.369915008544922,3988910,cnl-brain9,155.198.99.250,10.369915008544922,1,0.3,f9692_00078
79,2.0,1.0,30.450000000000397,0.019446592877590874,1.25,0.05000000000000071,0.65036720767253,1.1893828700271074,1759200124,,False,1,f9692_00079,2025-09-30_03-42-04,9.827579021453857,9.827579021453857,3988908,cnl-brain9,155.198.99.250,9.827579021453857,1,0.3125,f9692_00079
80,1.0,1.0,32.070000000000455,0.013601562135790779,1.25,-0.049999999999998934,0.6506227749453357,1.1534947321337627,1759200122,,False,1,f9692_00080,2025-09-30_03-42-02,8.006102085113525,8.006102085113525,3988939,cnl-brain9,155.198.99.250,8.006102085113525,1,0.325,f9692_00080
81,1.0,1.0,30.330000000000393,0.019383655512087206,1.25,-0.049999999999998934,0.6801932666365138,1.1090444045507213,1759200124,,False,1,f9692_00081,2025-09-30_03-42-04,9.643711805343628,9.643711805343628,3988906,cnl-brain9,155.198.99.250,9.643711805343628,1,0.3375,f9692_00081
82,1.0,1.0,30.210000000000388,0.025613584167859305,1.25,-0.049999999999998934,0.7037586031587919,1.0970162896338513,1759200124,,False,1,f9692_00082,2025-09-30_03-42-04,9.341870546340942,9.341870546340942,3988895,cnl-brain9,155.198.99.250,9.341870546340942,1,0.35000000000000003,f9692_00082
83,1.0,1.0,29.100000000000346,0.024264663085645566,1.25,-0.049999999999998934,0.7571933214888737,1.0593406970410428,1759200125,,False,1,f9692_00083,2025-09-30_03-42-05,10.262073278427124,10.262073278427124,3988913,cnl-brain9,155.198.99.250,10.262073278427124,1,0.3625,f9692_00083
84,1.0,1.0,25.950000000000227,0.022643062311360485,1.25,-0.049999999999998934,0.6680741741515335,1.083022694036866,1759200124,,False,1,f9692_00084,2025-09-30_03-42-04,9.227242231369019,9.227242231369019,3988925,cnl-brain9,155.198.99.250,9.227242231369019,1,0.375,f9692_00084
