,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
87,1,1,92.52000000000274,3.75,0.7920225045230466,0.03500866381048806,0.140625,1705546066,,False,1,e826f_00087,2024-01-18_02-47-46,9.611433982849121,9.611433982849121,33833,cnl-brain10,155.198.100.139,9.611433982849121,1,0.4,300.0,2.0,e826f_00087
88,1,1,92.97000000000276,4.25,1.6050432395878267,0.05737902751498236,0.046875,1705546065,,False,1,e826f_00088,2024-01-18_02-47-45,9.47128176689148,9.47128176689148,33839,cnl-brain10,155.198.100.139,9.47128176689148,1,0.45,300.0,2.0,e826f_00088
89,1,1,91.83000000000271,5.0,0.9524925771429865,0.0665803821475881,0.140625,1705546065,,False,1,e826f_00089,2024-01-18_02-47-45,8.724198579788208,8.724198579788208,33840,cnl-brain10,155.198.100.139,8.724198579788208,1,0.5,300.0,2.0,e826f_00089
90,0,0,,0.0,,,,1705546065,,False,1,e826f_00090,2024-01-18_02-47-45,9.546587467193604,9.546587467193604,33727,cnl-brain10,155.198.100.139,9.546587467193604,1,0.3,350.0,4.5,e826f_00090
91,0,0,,0.0,,,,1705546066,,False,1,e826f_00091,2024-01-18_02-47-46,9.648323059082031,9.648323059082031,33830,cnl-brain10,155.198.100.139,9.648323059082031,1,0.35,350.0,4.5,e826f_00091
92,1,1,94.0200000000028,1.25,1.3017727269154746,0.025132326404918137,0.046875,1705546066,,False,1,e826f_00092,2024-01-18_02-47-46,9.591322898864746,9.591322898864746,33718,cnl-brain10,155.198.100.139,9.591322898864746,1,0.4,350.0,4.5,e826f_00092
93,1,1,95.31000000000284,1.25,1.4621872756753636,0.04337622650694817,0.046875,1705546066,,False,1,e826f_00093,2024-01-18_02-47-46,9.772941827774048,9.772941827774048,33708,cnl-brain10,155.198.100.139,9.772941827774048,1,0.45,350.0,4.5,e826f_00093
94,1,1,91.71000000000271,1.5,0.8540858271926582,0.060172555324646826,0.140625,1705546067,,False,1,e826f_00094,2024-01-18_02-47-47,9.780191898345947,9.780191898345947,33697,cnl-brain10,155.198.100.139,9.780191898345947,1,0.5,350.0,4.5,e826f_00094
95,0,0,,0.0,,,,1705546066,,False,1,e826f_00095,2024-01-18_02-47-46,9.009368419647217,9.009368419647217,33716,cnl-brain10,155.198.100.139,9.009368419647217,1,0.3,350.0,4.0,e826f_00095
96,0,0,,0.0,,,,1705546072,,False,1,e826f_00096,2024-01-18_02-47-52,9.346561431884766,9.346561431884766,33691,cnl-brain10,155.198.100.139,9.346561431884766,1,0.35,350.0,4.0,e826f_00096
97,1,1,92.70000000000275,1.5,1.3214689645069682,0.025813301791823617,0.046875,1705546065,,False,1,e826f_00097,2024-01-18_02-47-45,9.490113973617554,9.490113973617554,33689,cnl-brain10,155.198.100.139,9.490113973617554,1,0.4,350.0,4.0,e826f_00097
98,1,1,91.4100000000027,1.5,0.8527144695438194,0.048016787149659956,0.140625,1705546073,,False,1,e826f_00098,2024-01-18_02-47-53,9.272054195404053,9.272054195404053,33829,cnl-brain10,155.198.100.139,9.272054195404053,1,0.45,350.0,4.0,e826f_00098
99,1,1,92.16000000000273,1.5,0.8177007973513876,0.06440086075438689,0.140625,1705546066,,False,1,e826f_00099,2024-01-18_02-47-46,8.87408185005188,8.87408185005188,33722,cnl-brain10,155.198.100.139,8.87408185005188,1,0.5,350.0,4.0,e826f_00099
