,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
63,5,2,9.569999999999988,1.75,0.7122373462638161,-0.06065825995774998,0.359375,1704997847,,False,1,85ac0_00063,2024-01-11_18-30-47,1.5570673942565918,1.5570673942565918,76611,cnl-brain10,155.198.100.139,1.5570673942565918,1,150.0,3.25,0.9,85ac0_00063
64,5,1,9.719999999999985,1.75,0.7002385902914338,-0.035723269720124406,0.359375,1704997847,,False,1,85ac0_00064,2024-01-11_18-30-47,1.568650484085083,1.568650484085083,76808,cnl-brain10,155.198.100.139,1.568650484085083,1,150.0,3.5,0.9,85ac0_00064
65,5,2,9.92999999999998,1.75,0.7553429529653412,-0.05364837320661042,0.359375,1704997847,,False,1,85ac0_00065,2024-01-11_18-30-47,1.4970662593841553,1.4970662593841553,76731,cnl-brain10,155.198.100.139,1.4970662593841553,1,175.0,2.5,0.9,85ac0_00065
66,5,1,10.049999999999978,1.75,0.8235648054473833,-0.043185870887008204,0.359375,1704997847,,False,1,85ac0_00066,2024-01-11_18-30-47,1.2154037952423096,1.2154037952423096,76628,cnl-brain10,155.198.100.139,1.2154037952423096,1,175.0,2.75,0.9,85ac0_00066
67,5,1,10.079999999999977,1.75,0.7104802001430953,-0.04057983398417542,0.359375,1704997847,,False,1,85ac0_00067,2024-01-11_18-30-47,1.56917405128479,1.56917405128479,76804,cnl-brain10,155.198.100.139,1.56917405128479,1,175.0,3.0,0.9,85ac0_00067
68,5,1,9.95999999999998,1.75,0.6621429204553685,-0.034327272705586775,0.359375,1704997847,,False,1,85ac0_00068,2024-01-11_18-30-47,1.5577728748321533,1.5577728748321533,76816,cnl-brain10,155.198.100.139,1.5577728748321533,1,175.0,3.25,0.9,85ac0_00068
69,5,2,10.049999999999978,1.5,0.6921607113725965,-0.05847422481103215,0.359375,1704997847,,False,1,85ac0_00069,2024-01-11_18-30-47,1.4669437408447266,1.4669437408447266,76785,cnl-brain10,155.198.100.139,1.4669437408447266,1,175.0,3.5,0.9,85ac0_00069
70,5,1,9.809999999999983,1.75,0.7455242478333284,-0.04528216469720148,0.359375,1704997847,,False,1,85ac0_00070,2024-01-11_18-30-47,1.479041337966919,1.479041337966919,76806,cnl-brain10,155.198.100.139,1.479041337966919,1,200.0,2.5,0.9,85ac0_00070
71,5,1,9.869999999999981,1.75,0.6815751770709304,-0.03673350516184204,0.359375,1704997847,,False,1,85ac0_00071,2024-01-11_18-30-47,1.5006332397460938,1.5006332397460938,76813,cnl-brain10,155.198.100.139,1.5006332397460938,1,200.0,2.75,0.9,85ac0_00071
72,5,1,9.869999999999981,1.75,0.6836193799685208,-0.04639218596865158,0.359375,1704997847,,False,1,85ac0_00072,2024-01-11_18-30-47,1.4799528121948242,1.4799528121948242,77065,cnl-brain10,155.198.100.139,1.4799528121948242,1,200.0,3.0,0.9,85ac0_00072
